"Age","Vehicle_Use","Severity","Claim_Count","Car_Model","Group","Exposure"
"G","DriveShort",207.632267031883,852.734239979775,"Mazda CX-9","Midsize SUVs",177055.143422711
"D","DriveShort",233.848745397627,449.388347040117,"Mazda CX-9","Midsize SUVs",105088.901151645
"C","Business",345.726724954921,132.113051384257,"Subaru Legacy","Midsize Cars",45675.0125788802
"B","Business",367.220686338983,43.3969846355729,"Hyundai Sonata","Midsize Cars",15936.2704829174
"H","Business",341.682541704391,97.6604216001928,"Subaru Legacy","Midsize Cars",33368.8610762763
"B","DriveLong",301.66578141293,92.100066290563,"Ford Explorer","Midsize SUVs",27783.4384657253
"F","DriveShort",204.601726785363,956.831647148472,"Mazda CX-9","Midsize SUVs",195769.40724946
"A","Business",778.35997751276,5.01117369136773,"Rivian R1T","Large Pickups",3900.49704172552
"A","Pleasure",250.935403237626,20.6235203383723,"Mazda CX-9","Midsize SUVs",5175.17139228884
"A","DriveShort",278.226263116958,39.4697834369726,"Hyundai Sonata","Midsize Cars",10981.5303517045
"A","Pleasure",244.472802311943,21.2528577836696,"Mazda CX-9","Midsize SUVs",5195.7456995109
"B","Pleasure",215.830040380533,63.2474450039444,"Mazda CX-9","Midsize SUVs",13650.6986091669
"C","DriveLong",303.139317934178,317.986048075044,"Ford Explorer","Midsize SUVs",96394.0737260537
"B","Business",361.669471301548,44.2682516020257,"Hyundai Sonata","Midsize Cars",16010.4751523485
"C","Pleasure",247.563756734636,141.745384494076,"Ford Explorer","Midsize SUVs",35091.0198851488
"D","Business",372.886010025005,170.695647200232,"Hyundai Sonata","Midsize Cars",63650.0188131304
"D","Pleasure",228.232757822533,120.940764369909,"Mazda CX-9","Midsize SUVs",27602.6441853094
"E","Pleasure",156.452478784248,152.974115836329,"Mazda CX-9","Midsize SUVs",23933.1796124224
"D","DriveShort",229.95196249605,448.827778051794,"Mazda CX-9","Midsize SUVs",103208.828385751
"C","DriveLong",297.175875451863,320.531454036827,"Ford Explorer","Midsize SUVs",95254.2154632526
"H","Business",342.922993556154,95.8766322445125,"Subaru Legacy","Midsize Cars",32878.3017413706
"E","Pleasure",157.261813952816,151.894258555747,"Mazda CX-9","Midsize SUVs",23887.1666294948
"G","DriveShort",204.529700063541,873.440873099095,"Mazda CX-9","Midsize SUVs",178644.599798195
"C","DriveShort",252.767033035211,342.348070313025,"Subaru Legacy","Midsize Cars",86534.3059983532
"E","DriveShort",200.609102818251,481.382529646927,"Mazda CX-9","Midsize SUVs",96569.71738485
"D","DriveShort",232.930751115181,451.879628833383,"Mazda CX-9","Midsize SUVs",105256.661357809
"C","Business",334.189395532137,128.13110191942,"Subaru Legacy","Midsize Cars",42820.0554993175
"H","Business",340.46176231395,94.0904488328844,"Subaru Legacy","Midsize Cars",32034.2000265544
"H","Business",345.736880220993,95.4155938647687,"Subaru Legacy","Midsize Cars",32988.6897472384
"C","Pleasure",249.916501681962,141.704717884073,"Ford Explorer","Midsize SUVs",35414.3473654169
"A","Business",786.374698611279,5.01902672881261,"Rivian R1T","Large Pickups",3946.83563119197
"G","Pleasure",204.229281694797,263.291538283811,"Ford Explorer","Midsize SUVs",53771.8417400208
"E","Pleasure",155.006561432798,149.230949320388,"Mazda CX-9","Midsize SUVs",23131.7763135055
"G","DriveLong",255.635345110437,516.355412493926,"Ford Explorer","Midsize SUVs",131998.694072527
"G","Business",339.215903560088,162.749540097476,"Subaru Legacy","Midsize Cars",55207.2322981541
"C","DriveLong",299.450784691859,314.430047887797,"Ford Explorer","Midsize SUVs",94156.3245706993
"G","DriveLong",252.370158815539,493.439721884206,"Ford Explorer","Midsize SUVs",124529.460977813
"A","Business",799.250653860087,4.8754851957201,"Rivian R1T","Large Pickups",3896.73473056447
"C","Pleasure",254.919173636999,138.862527181394,"Ford Explorer","Midsize SUVs",35398.7206782264
"E","DriveShort",199.129307315741,488.938808241312,"Mazda CX-9","Midsize SUVs",97362.0462048764
"E","Pleasure",155.016203076546,153.432668725611,"Mazda CX-9","Midsize SUVs",23784.5497337456
"C","Business",340.740180910758,127.54683019747,"Subaru Legacy","Midsize Cars",43460.3299960797
"C","Pleasure",251.074546066125,139.812373161083,"Ford Explorer","Midsize SUVs",35103.3281258466
"D","Business",376.213521549605,170.88767084576,"Hyundai Sonata","Midsize Cars",64290.2524382929
"H","DriveShort",197.26798013734,589.190288498695,"Ford Explorer","Midsize SUVs",116228.378128674
"G","Business",335.049794526497,162.723321725428,"Subaru Legacy","Midsize Cars",54520.4155087737
"G","Business",347.093068245566,162.054099084204,"Subaru Legacy","Midsize Cars",56247.8544729073
"G","Business",337.875333933265,164.944583909609,"Subaru Legacy","Midsize Cars",55730.7063689427
"D","Pleasure",233.057390958085,125.080181688687,"Mazda CX-9","Midsize SUVs",29150.8608049287
"B","DriveLong",291.872906402664,90.5426848698407,"Ford Explorer","Midsize SUVs",26426.956586461
"F","DriveShort",198.363907384858,976.108606291702,"Mazda CX-9","Midsize SUVs",193624.717176011
"A","DriveLong",239.719496801258,22.5597888763295,"Toyota RAV4","Small SUVs",5408.02123737633
"F","DriveLong",240.239170714849,711.326015871519,"Ford Explorer","Midsize SUVs",170888.372160871
"G","DriveLong",252.198842664002,512.985186432861,"Ford Explorer","Midsize SUVs",129374.270322145
"C","Business",348.76895786603,130.971560620714,"Subaru Legacy","Midsize Cars",45678.8147077742
"F","Business",349.807417963026,298.967102803476,"Subaru Legacy","Midsize Cars",104580.91028757
"E","Business",254.583449298527,168.667864864552,"Hyundai Sonata","Midsize Cars",42940.0468230355
"D","Business",363.20940333974,165.303568340151,"Hyundai Sonata","Midsize Cars",60039.8104267562
"A","Pleasure",250.16731121431,20.6482233410818,"Mazda CX-9","Midsize SUVs",5165.51051459098
"C","DriveLong",293.722122791646,322.479133366398,"Ford Explorer","Midsize SUVs",94719.2556083885
"A","Pleasure",254.334200463439,21.1011034927913,"Mazda CX-9","Midsize SUVs",5366.73228573536
"G","Pleasure",206.761097124538,265.653989563277,"Ford Explorer","Midsize SUVs",54926.9103376138
"E","Business",259.275206934079,169.586768925493,"Hyundai Sonata","Midsize Cars",43969.644606439
"B","Pleasure",217.680806909577,64.5392247881508,"Mazda CX-9","Midsize SUVs",14048.9505292032
"D","Business",374.507689667091,169.559783889086,"Hyundai Sonata","Midsize Cars",63501.4429247526
"A","DriveLong",242.811368195165,23.1545945619582,"Toyota RAV4","Small SUVs",5622.19878559339
"D","DriveLong",294.960348912047,365.573423080251,"Ford Explorer","Midsize SUVs",107829.664424722
"G","Pleasure",203.415593690296,264.164725748193,"Ford Explorer","Midsize SUVs",53735.2245201029
"B","Business",355.614372356304,44.9065001435578,"Hyundai Sonata","Midsize Cars",15969.3968632696
"H","Pleasure",188.5682223849,256.948498756625,"Mazda CX-9","Midsize SUVs",48452.3216550054
"E","Pleasure",151.188035429955,151.597043776629,"Mazda CX-9","Midsize SUVs",22919.6592255773
"F","DriveShort",197.958316466874,992.017445985111,"Mazda CX-9","Midsize SUVs",196378.10351298
"B","Pleasure",211.196694060961,61.5636468476965,"Mazda CX-9","Midsize SUVs",13002.03868857
"H","DriveShort",191.849604324726,566.792487494997,"Ford Explorer","Midsize SUVs",108738.914460142
"C","Pleasure",244.979138339796,139.474260206334,"Ford Explorer","Midsize SUVs",34168.2840859283
"C","DriveShort",245.172189163643,346.96799747945,"Subaru Legacy","Midsize Cars",85066.9035117622
"D","Pleasure",225.304724860057,124.814406222187,"Mazda CX-9","Midsize SUVs",28121.2754524611
"G","Pleasure",204.087279637442,268.830678560887,"Ford Explorer","Midsize SUVs",54864.9218705792
"B","Pleasure",214.616143633948,61.9152489011642,"Mazda CX-9","Midsize SUVs",13288.0119513039
"A","Pleasure",245.786914144211,20.7725574522978,"Mazda CX-9","Midsize SUVs",5105.62279508361
"E","Business",258.855356245847,164.958730445616,"Hyundai Sonata","Midsize Cars",42700.4509353625
"C","Business",350.468322818021,131.823140514654,"Subaru Legacy","Midsize Cars",46199.834964775
"E","Business",258.745884222574,164.574576943112,"Hyundai Sonata","Midsize Cars",42582.9944317014
"H","DriveLong",265.765667865589,307.746410417184,"Ford Explorer","Midsize SUVs",81788.4302977606
"D","Pleasure",233.662778974105,119.984770198795,"Mazda CX-9","Midsize SUVs",28035.9748392198
"H","Business",351.055984618292,95.96271523498,"Subaru Legacy","Midsize Cars",33688.2854834607
"H","DriveShort",193.763088857499,586.387742526713,"Ford Explorer","Midsize SUVs",113620.300260152
"A","DriveShort",278.644394346894,40.3017089581117,"Hyundai Sonata","Midsize Cars",11229.8452837778
"C","DriveShort",251.021824174728,337.193949433544,"Subaru Legacy","Midsize Cars",84643.0402874893
"H","DriveShort",195.701241583234,592.158509110287,"Ford Explorer","Midsize SUVs",115886.15544696
"B","Pleasure",215.709979656328,61.7045501408167,"Mazda CX-9","Midsize SUVs",13310.2872555784
"A","DriveLong",240.221506941529,23.2653888456291,"Toyota RAV4","Small SUVs",5588.84676807764
"B","Pleasure",208.603981551592,62.1694532801164,"Mazda CX-9","Midsize SUVs",12968.795485118
"D","Pleasure",224.914825584709,125.818686249526,"Mazda CX-9","Midsize SUVs",28298.4878731094
"D","Pleasure",231.290259824123,121.753774893761,"Mazda CX-9","Midsize SUVs",28160.4622297459
"D","DriveLong",291.072930216926,356.183080010919,"Ford Explorer","Midsize SUVs",103675.252792468
"B","DriveShort",296.341554743878,171.961134606565,"Hyundai Sonata","Midsize Cars",50959.2299848307
"A","Pleasure",255.487333242548,20.5174768359284,"Mazda CX-9","Midsize SUVs",5241.95544167709
"C","DriveShort",248.277812585056,335.436160131649,"Subaru Legacy","Midsize Cars",83281.3560994162
"F","DriveLong",238.980591134985,730.255740737345,"Ford Explorer","Midsize SUVs",174516.948601127
"E","DriveShort",203.041764833852,470.176847467967,"Mazda CX-9","Midsize SUVs",95465.536893913
"G","Pleasure",210.819849194188,260.037779460312,"Ford Explorer","Midsize SUVs",54821.1254506145
"C","DriveLong",298.383144130841,314.702900451282,"Ford Explorer","Midsize SUVs",93902.0409037485
"E","Business",255.259239473111,162.595040335483,"Hyundai Sonata","Midsize Cars",41503.8863381352
"E","DriveShort",201.602264048394,479.372086319444,"Mazda CX-9","Midsize SUVs",96642.4979236021
"D","DriveLong",287.406852338275,365.139300657727,"Ford Explorer","Midsize SUVs",104943.537067036
"G","DriveShort",203.794528816878,874.180413610279,"Mazda CX-9","Midsize SUVs",178153.18549265
"B","DriveLong",300.037139744994,91.897695430927,"Ford Explorer","Midsize SUVs",27572.7216862519
"A","DriveLong",240.318692306408,22.768643889646,"Toyota RAV4","Small SUVs",5471.73072515003
"F","Business",350.992533119486,308.582918795385,"Subaru Legacy","Midsize Cars",108310.300345397
"H","Pleasure",189.91205766052,261.587246147683,"Mazda CX-9","Midsize SUVs",49678.5721736554
"E","DriveLong",236.787646036465,389.079029685468,"Mazda CX-9","Midsize SUVs",92129.1075613741
"B","Pleasure",216.774261137023,64.1702472251141,"Mazda CX-9","Midsize SUVs",13910.4579292042
"D","DriveLong",301.004065068841,366.763575047231,"Ford Explorer","Midsize SUVs",110397.327008398
"E","DriveLong",238.309676852223,371.529518392612,"Mazda CX-9","Midsize SUVs",88539.0794692057
"F","DriveShort",205.920741468016,977.221247053123,"Mazda CX-9","Midsize SUVs",201230.123771478
"B","DriveLong",305.033136939095,91.5849157076329,"Ford Explorer","Midsize SUVs",27936.4341346019
"G","Business",339.021779527883,163.697210775758,"Subaru Legacy","Midsize Cars",55496.9197009485
"D","Business",374.542761398816,171.45671695366,"Hyundai Sonata","Midsize Cars",64217.8722281992
"B","Pleasure",208.671692251804,63.1813648224226,"Mazda CX-9","Midsize SUVs",13184.1623162735
"F","Business",355.773304098763,302.882340925559,"Subaru Legacy","Midsize Cars",107757.451184254
"D","Business",365.387404833453,172.855043890653,"Hyundai Sonata","Midsize Cars",63159.0558995784
"F","Business",348.661776439213,308.153247048147,"Subaru Legacy","Midsize Cars",107441.258531319
"E","DriveLong",242.247754387214,381.397969434899,"Mazda CX-9","Midsize SUVs",92392.8016234477
"C","DriveShort",249.502355961155,341.718742613448,"Subaru Legacy","Midsize Cars",85259.6313581388
"A","Pleasure",252.300478174153,21.3047185989912,"Mazda CX-9","Midsize SUVs",5375.19068989124
"E","Business",254.447721691618,168.522731928644,"Hyundai Sonata","Midsize Cars",42880.2251924906
"A","Business",802.077415165747,4.91839473991422,"Rivian R1T","Large Pickups",3944.93333975521
"G","DriveLong",258.938778864359,505.618785705976,"Ford Explorer","Midsize SUVs",130924.310941585
"H","DriveLong",264.362435873336,312.244161432702,"Ford Explorer","Midsize SUVs",82545.6271035762
"E","Business",262.524331101346,164.84141149302,"Hyundai Sonata","Midsize Cars",43274.8812900068
"C","Pleasure",249.729267325234,136.660149755422,"Ford Explorer","Midsize SUVs",34128.0390709783
"B","Pleasure",217.722832420363,63.1193545026937,"Mazda CX-9","Midsize SUVs",13742.5246428715
"B","DriveLong",296.113832568865,92.2537732007913,"Ford Explorer","Midsize SUVs",27317.6183514252
"F","Pleasure",204.075629348284,242.888176537643,"Ford Explorer","Midsize SUVs",49567.5574881764
"A","Pleasure",249.224605005039,20.5467559081852,"Mazda CX-9","Midsize SUVs",5120.75712535239
"E","Business",256.198916473826,169.473011859506,"Hyundai Sonata","Midsize Cars",43418.8020099613
"A","DriveShort",278.471420785556,39.8942927261814,"Hyundai Sonata","Midsize Cars",11109.4203766946
"C","DriveLong",293.897634833115,324.23769846994,"Ford Explorer","Midsize SUVs",95292.692704048
"A","Pleasure",249.150338148869,20.9003758191015,"Mazda CX-9","Midsize SUVs",5207.33570276757
"D","Pleasure",228.138274159793,124.129941661761,"Mazda CX-9","Midsize SUVs",28318.7906622698
"H","DriveLong",263.3811122717,317.217880575266,"Ford Explorer","Midsize SUVs",83549.1982183849
"C","DriveShort",248.909748166476,340.47528559214,"Subaru Legacy","Midsize Cars",84747.6175936486
"H","Business",335.894363260948,94.8497350048274,"Subaru Legacy","Midsize Cars",31859.4913449161
"E","DriveShort",201.495823474102,473.916966475197,"Mazda CX-9","Midsize SUVs",95492.2894182683
"A","Business",781.917906483023,4.93832201347686,"Rivian R1T","Large Pickups",3861.36241031686
"A","Business",813.560826817136,4.92252119840123,"Rivian R1T","Large Pickups",4004.77041619618
"G","DriveShort",203.183582044306,838.566408729739,"Mazda CX-9","Midsize SUVs",170382.926707738
"H","Business",349.886134324168,94.888021178171,"Subaru Legacy","Midsize Cars",33200.0029237001
"A","DriveShort",278.578657692741,40.4649934889749,"Hyundai Sonata","Midsize Cars",11272.6835697041
"D","Business",370.073711848205,168.168711514317,"Hyundai Sonata","Midsize Cars",62234.8192868333
"G","Business",337.865561729514,164.930990167335,"Subaru Legacy","Midsize Cars",55724.5016394915
"D","Business",372.522406052642,170.240825766686,"Hyundai Sonata","Midsize Cars",63418.5220229945
"B","Business",358.278567540759,43.8032554758713,"Hyundai Sonata","Midsize Cars",15693.7676255171
"H","Pleasure",189.501136475801,266.258151776157,"Mazda CX-9","Midsize SUVs",50456.2223575282
"F","DriveShort",197.752917320542,990.883863283671,"Mazda CX-9","Midsize SUVs",195950.174690195
"A","DriveLong",243.116204553935,23.3172760599293,"Toyota RAV4","Small SUVs",5668.80765622634
"E","Business",258.079272228191,164.68023735059,"Hyundai Sonata","Midsize Cars",42500.5558058059
"E","DriveShort",204.817070637639,473.205356448493,"Mazda CX-9","Midsize SUVs",96920.5349178202
"C","DriveLong",293.182774764615,312.563695149031,"Ford Explorer","Midsize SUVs",91638.291434474
"E","Pleasure",157.320440192373,153.800765687483,"Mazda CX-9","Midsize SUVs",24196.0041598788
"D","Business",370.332977034858,169.765756338148,"Hyundai Sonata","Midsize Cars",62869.8579432806
"A","DriveShort",279.23788147012,39.1710203955881,"Hyundai Sonata","Midsize Cars",10938.0327502869
"B","Business",369.895521395943,44.5582129447721,"Hyundai Sonata","Midsize Cars",16481.8834096779
"B","Pleasure",214.759975801006,61.9157164894044,"Mazda CX-9","Midsize SUVs",13297.0177749664
"C","Business",339.057640113295,126.211345833039,"Subaru Legacy","Midsize Cars",42792.9210736733
"G","DriveLong",257.168027892314,494.433095236123,"Ford Explorer","Midsize SUVs",127152.384026566
"H","DriveLong",263.128466009499,304.994947453402,"Ford Explorer","Midsize SUVs",80252.8526640614
"D","DriveLong",299.30637655091,360.840105334902,"Ford Explorer","Midsize SUVs",108001.744442038
"F","DriveLong",235.344481434395,719.665513819538,"Ford Explorer","Midsize SUVs",169369.307156076
"A","DriveShort",279.479293861998,39.0666134105995,"Hyundai Sonata","Midsize Cars",10918.309529574
"D","DriveLong",295.982760405979,364.330965790618,"Ford Explorer","Midsize SUVs",107835.684956083
"B","Pleasure",212.441808809384,64.3326693434618,"Mazda CX-9","Midsize SUVs",13666.948640861
"C","Pleasure",245.857800766853,136.566686541541,"Ford Explorer","Midsize SUVs",33575.9852111194
"D","DriveLong",294.465509045131,365.832770665793,"Ford Explorer","Midsize SUVs",107725.133039493
"B","DriveLong",300.544285896364,89.9023383038118,"Ford Explorer","Midsize SUVs",27019.6340659324
"C","Pleasure",245.04849973596,142.542094077449,"Ford Explorer","Midsize SUVs",34929.7263029011
"F","Business",359.61112683142,305.837243758142,"Subaru Legacy","Midsize Cars",109982.475854881
"C","Pleasure",246.68720944952,139.898556171218,"Ford Explorer","Midsize SUVs",34511.1844278947
"C","DriveLong",304.808439713961,322.975540791778,"Ford Explorer","Midsize SUVs",98445.6706545146
"C","DriveShort",243.495740228377,349.076109208609,"Subaru Legacy","Midsize Cars",84998.5456077921
"E","Pleasure",150.682315156164,149.879772704409,"Mazda CX-9","Midsize SUVs",22584.23114618
"C","DriveShort",247.952084513928,345.219000488485,"Subaru Legacy","Midsize Cars",85597.7707849344
"D","DriveLong",296.856016884889,367.949472519069,"Ford Explorer","Midsize SUVs",109228.014826907
"B","DriveLong",296.318136904286,93.5882566598244,"Ford Explorer","Midsize SUVs",27731.8978495593
"G","Business",337.251769363733,160.134393752972,"Subaru Legacy","Midsize Cars",54005.6076291784
"E","Pleasure",155.185631503399,149.078057419986,"Mazda CX-9","Midsize SUVs",23134.7724840205
"C","Business",345.723098648989,128.57304034601,"Subaru Legacy","Midsize Cars",44450.6699111439
"B","Pleasure",216.279179938395,62.2526449038531,"Mazda CX-9","Midsize SUVs",13463.9509888015
"A","DriveLong",243.65414675767,23.4731683474616,"Toyota RAV4","Small SUVs",5719.33480539991
"E","DriveShort",198.698981269197,483.553246970265,"Mazda CX-9","Midsize SUVs",96081.5375624043
"D","DriveShort",227.361068714954,447.271985606104,"Mazda CX-9","Midsize SUVs",101692.236653663
"H","Pleasure",189.909511506557,255.280820542481,"Mazda CX-9","Midsize SUVs",48480.2559262157
"B","DriveLong",301.892579151346,92.0474753239192,"Ford Explorer","Midsize SUVs",27788.4497299078
"D","Pleasure",229.717364296341,125.908803772065,"Mazda CX-9","Midsize SUVs",28923.4385442239
"H","DriveLong",263.326094615331,307.07187462179,"Ford Explorer","Midsize SUVs",80860.0375103645
"A","DriveLong",244.667659818112,23.1068778754328,"Toyota RAV4","Small SUVs",5653.50573548506
"A","DriveShort",276.290014286358,40.0534267369658,"Hyundai Sonata","Midsize Cars",11066.3618453739
"G","Pleasure",209.237652524306,269.39310459767,"Ford Explorer","Midsize SUVs",56367.1808122513
"C","DriveLong",300.561644435384,314.179255655757,"Ford Explorer","Midsize SUVs",94430.2337273793
"C","DriveShort",243.899683284736,345.016104025766,"Subaru Legacy","Midsize Cars",84149.318500018
"G","Pleasure",209.100368991853,259.82846206082,"Ford Explorer","Midsize SUVs",54330.2272915032
"D","Business",362.862316015923,172.879263187665,"Hyundai Sonata","Midsize Cars",62731.3698314025
"G","Pleasure",208.707871365843,261.556479143142,"Ford Explorer","Midsize SUVs",54588.8960039097
"F","Business",356.192659765867,301.095113868453,"Subaru Legacy","Midsize Cars",107247.869451311
"E","Business",256.675599437837,165.217217410356,"Hyundai Sonata","Midsize Cars",42407.2283162546
"G","DriveLong",256.765943877755,502.730835947581,"Ford Explorer","Midsize SUVs",129084.157608533
"G","DriveShort",205.913371756009,861.791298004158,"Mazda CX-9","Midsize SUVs",177454.351922024
"A","DriveLong",243.770120334135,23.0616072543198,"Toyota RAV4","Small SUVs",5621.7307754841
"A","Business",808.215945210001,5.08931195986224,"Rivian R1T","Large Pickups",4113.26307610862
"B","DriveLong",304.556542737218,91.6627096439246,"Ford Explorer","Midsize SUVs",27916.4779470791
"C","DriveShort",252.119164601748,343.263580548682,"Subaru Legacy","Midsize Cars",86543.3271661384
"E","Business",262.045451947548,166.248405219056,"Hyundai Sonata","Midsize Cars",43564.6384811866
"H","DriveShort",199.921329493448,576.535037280992,"Ford Explorer","Midsize SUVs",115261.65115277
"E","Pleasure",151.554478131895,149.690172582702,"Mazda CX-9","Midsize SUVs",22686.2159872447
"F","Pleasure",210.765729413365,249.479403639154,"Ford Explorer","Midsize SUVs",52581.7084816176
"C","DriveLong",302.403605327667,322.930343999807,"Ford Explorer","Midsize SUVs",97655.3002952452
"D","DriveShort",227.785418474212,459.023792920262,"Mazda CX-9","Midsize SUVs",104558.926759962
"A","DriveLong",248.716357973324,22.9228149268078,"Toyota RAV4","Small SUVs",5701.27904309217
"E","Business",251.572256228234,165.717440556176,"Hyundai Sonata","Midsize Cars",41689.9104170855
"D","DriveShort",228.710729638338,447.539849510789,"Mazda CX-9","Midsize SUVs",102357.165523845
"H","Business",339.372824675877,97.8268743731081,"Subaru Legacy","Midsize Cars",33199.7826852139
"E","Pleasure",154.013755639215,151.115688991244,"Mazda CX-9","Midsize SUVs",23273.8947975491
"B","Pleasure",210.420602605179,63.5877309163799,"Mazda CX-9","Midsize SUVs",13380.1686577206
"H","DriveShort",200.919759814672,568.662374157924,"Ford Explorer","Midsize SUVs",114255.507631451
"A","DriveLong",243.085370711513,22.9651449428638,"Toyota RAV4","Small SUVs",5582.49077187969
"D","DriveShort",232.046900920495,452.172932066768,"Mazda CX-9","Midsize SUVs",104925.327566227
"E","Pleasure",152.081412850778,147.431666936132,"Mazda CX-9","Midsize SUVs",22421.6162065922
"C","DriveLong",298.280757666727,315.65871704563,"Ford Explorer","Midsize SUVs",94154.9212844777
"A","Pleasure",249.503587671006,20.6499655869557,"Mazda CX-9","Midsize SUVs",5152.24049922825
"C","Pleasure",253.274082705796,140.60614851932,"Ford Explorer","Midsize SUVs",35611.8932890258
"G","DriveLong",249.228774789738,498.679050096776,"Ford Explorer","Midsize SUVs",124285.16866893
"G","DriveLong",251.98161003877,504.946035040822,"Ford Explorer","Midsize SUVs",127237.114892279
"A","DriveLong",241.669772328964,22.5784731087624,"Toyota RAV4","Small SUVs",5456.53445573026
"E","Business",260.220006464738,167.185209808894,"Hyundai Sonata","Midsize Cars",43504.9363772791
"C","Business",344.687772843568,126.566867363616,"Subaru Legacy","Midsize Cars",43626.0516273521
"F","DriveShort",205.503277813392,977.789290153771,"Mazda CX-9","Midsize SUVs",200938.904137429
"C","Business",343.757506032843,127.966907392256,"Subaru Legacy","Midsize Cars",43989.5849398977
"D","Business",376.596611261365,169.990298855188,"Hyundai Sonata","Midsize Cars",64017.7704961706
"C","Pleasure",248.604037062211,142.305964291329,"Ford Explorer","Midsize SUVs",35377.8372208551
"H","DriveShort",195.164217153595,586.646718522371,"Ford Explorer","Midsize SUVs",114492.447566144
"C","Pleasure",254.88515974606,137.751174500212,"Ford Explorer","Midsize SUVs",35110.730117694
"D","DriveLong",292.095401768217,356.762629869254,"Ford Explorer","Midsize SUVs",104208.723707545
"D","DriveShort",223.343601383395,449.053596351296,"Mazda CX-9","Midsize SUVs",100293.247423264
"A","DriveLong",238.778675345096,22.8107811449561,"Toyota RAV4","Small SUVs",5446.72810537952
"B","Business",365.587264081653,43.823054729728,"Hyundai Sonata","Midsize Cars",16021.1506823418
"D","Business",373.879221782429,170.357499013923,"Hyundai Sonata","Midsize Cars",63693.1291561263
"A","Pleasure",256.012761712467,21.3004471667111,"Mazda CX-9","Midsize SUVs",5453.18630486021
"G","DriveShort",202.663751433415,845.030721411831,"Mazda CX-9","Midsize SUVs",171257.096077806
"C","DriveLong",295.542013124462,318.243751817616,"Ford Explorer","Midsize SUVs",94054.3990764597
"A","Pleasure",245.950578322594,21.3985070613446,"Mazda CX-9","Midsize SUVs",5262.97518697781
"D","DriveLong",296.086343866252,359.794756853138,"Ford Explorer","Midsize SUVs",106530.314098893
"B","DriveLong",293.791561251496,91.6185684189666,"Ford Explorer","Midsize SUVs",26916.7622554352
"H","Pleasure",189.967909126729,257.134103788063,"Mazda CX-9","Midsize SUVs",48847.2280617936
"H","DriveShort",195.969555175262,577.084934256715,"Ford Explorer","Midsize SUVs",113091.077864634
"F","DriveShort",202.710950340084,985.218154222705,"Mazda CX-9","Midsize SUVs",199714.508334788
"F","DriveLong",233.851586906109,707.777598525351,"Ford Explorer","Midsize SUVs",165514.914591749
"H","DriveLong",263.591202003909,317.814398796391,"Ford Explorer","Midsize SUVs",83773.0793928904
"C","DriveLong",294.337136298981,323.614483736339,"Ford Explorer","Midsize SUVs",95251.7604078273
"H","DriveShort",193.192201139612,578.224146621255,"Ford Explorer","Midsize SUVs",111708.395637834
"B","Pleasure",209.333592567005,63.4792672325391,"Mazda CX-9","Midsize SUVs",13288.3430633084
"H","DriveLong",257.055822274503,319.791663961206,"Ford Explorer","Midsize SUVs",82204.3091360792
"H","DriveShort",193.565975304948,582.063186618104,"Ford Explorer","Midsize SUVs",112667.628406839
"F","Business",356.062738993129,303.981849476323,"Subaru Legacy","Midsize Cars",108236.609928736
"D","Business",367.887201828266,167.436036127468,"Hyundai Sonata","Midsize Cars",61597.5748161506
"G","DriveShort",204.303406455928,880.400748194614,"Mazda CX-9","Midsize SUVs",179868.871902507
"E","Pleasure",151.032248681006,148.977539241791,"Mazda CX-9","Midsize SUVs",22500.4127546506
"E","Pleasure",155.848459308735,150.597954395355,"Mazda CX-9","Midsize SUVs",23470.4591675632
"G","DriveShort",199.631743017448,848.904089735344,"Mazda CX-9","Midsize SUVs",169468.203088506
"B","Business",369.381349774183,43.0278757790569,"Hyundai Sonata","Midsize Cars",15893.6948331839
"A","DriveLong",239.517084257,23.5242360928329,"Toyota RAV4","Small SUVs",5634.4564383286
"E","Business",259.788054349182,162.49003242699,"Hyundai Sonata","Midsize Cars",42212.9693753432
"B","Business",354.816884616499,43.9253860379569,"Hyundai Sonata","Midsize Cars",15585.4686295649
"F","Pleasure",204.841625971719,241.223922839796,"Ford Explorer","Midsize SUVs",49412.7005777803
"D","DriveShort",225.059138891526,458.778385449946,"Mazda CX-9","Midsize SUVs",103252.268371409
"D","Business",368.582754504171,172.636463353399,"Hyundai Sonata","Midsize Cars",63630.8231906541
"G","DriveLong",255.630153917338,504.486905528046,"Ford Explorer","Midsize SUVs",128962.065309416
"D","Business",364.610612138933,172.851055452414,"Hyundai Sonata","Midsize Cars",63023.3291373652
"A","DriveLong",244.849010934366,23.2374238227028,"Toyota RAV4","Small SUVs",5689.66023965146
"D","DriveShort",228.45330449409,451.461710238457,"Mazda CX-9","Midsize SUVs",103137.919556529
"G","DriveShort",200.807549608117,847.038243937981,"Mazda CX-9","Midsize SUVs",170091.674189549
"E","Pleasure",156.081941777687,151.914661762549,"Mazda CX-9","Midsize SUVs",23711.1353923992
"H","DriveLong",264.821030629372,317.890565866046,"Ford Explorer","Midsize SUVs",84184.1072800005
"H","DriveLong",261.203071382063,308.812128264271,"Ford Explorer","Midsize SUVs",80662.6763826592
"E","Pleasure",151.963866250613,149.919032980502,"Mazda CX-9","Midsize SUVs",22782.2758762701
"D","Pleasure",229.796325523904,121.458231306192,"Mazda CX-9","Midsize SUVs",27910.6552587954
"E","Business",258.25684942656,167.618395355972,"Hyundai Sonata","Midsize Cars",43288.598690569
